Date,Vancouver,Calgary,Edmonton,Toronto,Ottawa,Montreal
Q1 2000,,6,4.2,5,5.49,
Q2 2000,,6,4.2,5.01,5.49,
Q3 2000,,6.5,4.2,5.01,5.95,
Q4 2000,6.14,6.26,4.2,5.21,5.98,4.55
Q1 2001,6.2,6,4.4,5.43,6.21,4.55
Q2 2001,6.51,6,4.4,5.49,6.21,4.55
Q3 2001,6.59,6.5,4.4,5.44,6.2,4.55
Q4 2001,6.58,5.85,4.4,5.3,6.25,4.55
Q1 2002,6.5,5.91,4.4,5.06,6.25,5.08
Q2 2002,6.78,6.01,4.5,4.95,6.25,5.13
Q3 2002,7.07,5.91,4.5,4.89,6,5.18
Q4 2002,6.82,6.01,4.5,4.95,6.25,5.16
Q1 2003,6.36,5.84,4.7,5.03,6.25,5.24
Q2 2003,6.69,5.8,4.7,4.99,6,5.12
Q3 2003,6.57,5.76,4.7,5.1,6.5,5
Q4 2003,6.75,6.2,4.7,5.02,6.5,5.06
Q1 2004,6.71,6.33,4.7,4.98,6.5,4.95
Q2 2004,7.02,6.42,4.85,5.08,6.5,4.92
Q3 2004,6.85,6.41,4.85,4.95,6.5,4.97
Q4 2004,6.52,6.56,4.85,4.99,6.5,4.94
Q1 2005,6.47,6.71,4.85,5.03,6.5,4.88
Q2 2005,6.81,6.77,4.85,5.09,6.5,4.98
Q3 2005,6.81,6.87,4.85,5.27,6.5,5.04
Q4 2005,7.03,7.33,5,5.19,6.5,5.07
Q1 2006,7.28,7.61,5.25,5.21,6.5,5.05
Q2 2006,7.33,7.64,6,5.23,6.5,5.04
Q3 2006,7.41,8.05,7.4,5.26,6.75,5.13
Q4 2006,7.63,8.34,7.4,5.33,6.75,5.04
Q1 2007,7.94,8.57,7.4,5.35,6.75,5.01
Q2 2007,8.1,8.54,8.47,5.46,6.75,4.98
Q3 2007,7.98,8.54,7.81,5.48,6.75,5.08
Q4 2007,8.15,8.92,9.09,5.46,7.77,5.22
Q1 2008,8.19,9.2,9.25,5.54,7.77,5.2
Q2 2008,8.36,9.77,9.34,5.37,8.35,5.29
Q3 2008,8.34,9.75,9.36,5.27,8.7,5.26
Q4 2008,8.16,9.45,9.41,5.22,9.37,5.31
Q1 2009,8.04,8.91,9.41,5.22,8.1,5.31
Q2 2009,7.93,8.34,8.72,5.01,9.07,5.38
Q3 2009,8,7.5,8.54,4.99,7.6,5.25
Q4 2009,8.22,7.49,8.51,4.9,7.78,5.23
Q1 2010,7.93,7.32,8.5,4.9,7.8,5.15
Q2 2010,7.82,7.45,8.52,4.82,7.71,4.99
Q3 2010,7.72,7.52,8.52,4.82,7.57,4.95
Q4 2010,7.53,7.71,8.55,4.71,7.61,4.9
Q1 2011,7.56,7.77,8.72,4.59,8.26,5.04
Q2 2011,7.58,7.95,8.94,4.69,8,4.99
Q3 2011,7.62,7.99,8.9,4.59,7.97,4.97
Q4 2011,7.44,8.03,9.03,4.59,7.72,5
Q1 2012,7.8,8.09,9.64,4.66,8.16,5
Q2 2012,7.8,8.05,9.67,4.69,8.69,4.88
Q3 2012,7.71,8.08,9.28,4.64,8.44,4.97
Q4 2012,7.6,8.02,9.88,4.65,8.67,5.03
Q1 2013,7.76,7.97,10.01,4.84,8.61,5.14
Q2 2013,7.68,7.89,10.71,4.93,8.8,5.11
Q3 2013,8.12,7.98,10.57,5.12,9.01,5.16
Q4 2013,7.96,8.07,10.63,5.04,8.56,5.16
Q1 2014,7.81,8.15,10.74,5.2,8.52,5.17
Q2 2014,7.81,8.24,10.83,5.11,8.43,5.11
Q3 2014,8.07,8.36,10.75,5.07,8.59,5.14
Q4 2014,8.06,8.51,11.13,5.19,8.83,5.2
Q1 2015,8.19,8.73,11.37,5.37,8.75,5.17
Q2 2015,8.27,7.82,11.14,5.3,8.68,5.35
Q3 2015,8.26,7.21,11.37,5.33,8.75,5.32
Q4 2015,8.46,7.16,11.17,5.41,8.62,5.33
Q1 2016,8.84,7.17,11.03,5.47,8.77,5.37
Q2 2016,8.74,7.17,10.58,5.56,8.99,5.41
Q3 2016,8.93,6.77,9.39,5.75,9.09,5.31
Q4 2016,9,6.76,9.51,5.94,9.17,5.29
Q1 2017,8.68,6.73,9.69,5.86,9.11,5.41
Q2 2017,9.19,6.73,9.68,6.05,8.96,5.51
Q3 2017,10.12,6.72,9.7,6.27,9.23,5.59
Q4 2017,10.23,6.74,9.71,6.43,9.72,5.67
Q1 2018,10.9,6.79,9.71,6.53,9.58,5.59
Q2 2018,11.59,6.84,9.76,6.55,9.68,5.71
Q3 2018,11.74,7.1,10.03,6.68,9.37,5.64
Q4 2018,11.86,7.33,9.59,7.15,10.11,5.91
Q1 2019,12.46,7.42,9.93,7.67,10.13,6.01
Q2 2019,12.62,7.62,10.32,8.18,10.56,6.12
Q3 2019,12.94,7.77,10.41,8.57,10.59,6.21
Q4 2019,13.15,7.89,10.11,8.62,10.74,6.59
Q1 2020,13.65,7.94,10.14,9.56,11.56,7.03
Q2 2020,13.59,7.94,10.34,9.72,10.51,7.14
Q3 2020,13.52,7.89,10.29,9.76,10.79,7.19
Q4 2020,13.92,7.93,10.42,10.25,10.78,7.73
Q1 2021,14,8.16,10.4,10.45,11.63,8.1
Q2 2021,15.01,8.26,10.19,11.14,12.06,8.24
Q3 2021,15.37,8.41,10.2,11.63,11.95,8.81
Q4 2021,16.33,8.65,10.2,12.3,12.12,10.23
Q1 2022,17.4,8.99,10.45,13.59,12.75,11.53
Q2 2022,18.93,9.58,10.65,15.09,12.82,13.23
Q3 2022,20.67,9.84,10.58,15.97,13.43,14.82
Q4 2022,20.83,10.58,10.59,17.19,13.63,15.39
Q1 2023,21.33,10.81,10.69,17.77,14.02,16.65
Q2 2023,22.09,11.17,10.42,18.26,14.75,16.98
Q3 2023,21.8,11.27,10.51,18.35,15.5,16.52